word,sent
dog trainer,"['i', 'immediately', 'engaged', 'a', 'dog', 'trainer', 'and', 'quickly', 'realized', 'i', 'needed', 'training', 'as', 'much', 'as', 'louie', 'did', 'if', 'not', 'more', 'so']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['last', 'week', 'while', 'i', 'was', 'shopping', 'at', 'kroger', 'i', 'ran', 'into', 'our', 'dog', 'trainer', 'zig', 'and', 'expressed', 'my', 'frustration', 'about', 'this', 'habit', 'of', 'lou', 's']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['last', 'week', 'while', 'i', 'was', 'shopping', 'at', 'kroger', 'i', 'ran', 'into', 'our', 'dog', 'trainer', 'zig', 'and', 'expressed', 'my', 'frustration', 'about', 'this', 'habit', 'of', 'lou', 's']"
dog trainer,"['last', 'week', 'while', 'i', 'was', 'shopping', 'at', 'kroger', 'i', 'ran', 'into', 'our', 'dog', 'trainer', 'zig', 'and', 'expressed', 'my', 'frustration', 'about', 'this', 'habit', 'of', 'lou', 's']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
bournville,"['i', 'bournville']"
dog trainer,"['last', 'week', 'while', 'i', 'was', 'shopping', 'at', 'kroger', 'i', 'ran', 'into', 'our', 'dog', 'trainer', 'zig', 'and', 'expressed', 'my', 'frustration', 'about', 'this', 'habit', 'of', 'lou', 's']"
dog trainer,"['thanks', 'to', 'zig', 'our', 'dog', 'trainer', 'i', 'learned', 'a', 'long', 'time', 'ago', 'that', 'louie', 'whines', 'out', 'of', 'fear', 'so', 'i', 'have', 'to', 'step', 'up', 'and', 'walk', 'with', 'confidence']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
dog trainer,"['he', 'demonstrated', 'behaviors', 'that', 'deeply', 'concerned', 'me', 'and', 'i', 'engaged', 'a', 'dog', 'trainer', 'to', 'help', 'address', 'them']"
glonass,"['ua/vvezennya', 'staryh', 'inomarok', 'stane', 'mozhlyvym', 'za', 'rahunok', 'komertsijnogo', 'era', 'glonass/', '20', 'monthly', '2018', '07', '01', '18', '48']"
prosciutto,"['let', 's', 'see', 'cheeses', 'and', 'crackers', 'fruit', 'olives', 'pita', 'bread', 'prosciutto', 'and', 'oreos', '?', 'i', 'had', 'some', 'chocolates', 'down', 'there', 'that', 'might', 'have', 'been', 'better']"
prosciutto,"['prosciutto', 'sushi', 'rolls', 'with', 'melon', 'and', 'brie']"
buic,"['departmental', 'publications', 'buic', '594']"
buic,"['journals', 'buic', '0']"
glonass,"['support', 'gps/glonass/galileo/compass', 'four', 'different', 'satellite']"
saxon dog,"['example', 'of', 'impetus', 'style', 'basing', 'from', 'the', 'saxon', 'dog', 'blog', 'saxondog']"
saxon dog,"['saxon', 'dog']"
saxon dog,"['saxon', 'dog']"
saxon dog,"['saxon', 'dog']"
saxon dog,"['saxon', 'dog']"
saxon dog,"['saxon', 'dog']"
spandau,"['spandau', 'ballet']"
bungal,"['fully', 'furnished', 'semi', 'bungal']"
dog trainer,"['i', 'm', 'not', 'a', 'dog', 'trainer', 'and', 'it', 'was', 'frustrating', 'for', 'all', 'of', 'us']"
spandau,"['spandau', 'ballet']"
i tie,"['ro^', 'i', 'no', 'nhi', 'n', 'con', 'so^', 'ho', '?', 'i', 'tie^', 'p']"
i tie,"['m', 'muo^', 'i', 'tie^u', 'dda^', 'y', 'phong', 'su', 'plus', 'o', 'plus', 'ng', 'bu']"
i tie,"['ch', 'ddu', 'plus', 'ng', 'dde^', '?', 'ho^', 'i', 'tie^', 'c', 'va', 'pha', '?', 'i', 'a^n', 'ha^']"
i tie,"['tre^n', 'fl', 'anh', 'ddi', 'ra', 'ngoa', 'i', 'tie^']"
i tie,"['i', 'tie^', 'p', 'cho', 'em']"
i tie,"['chu', 'ng', 'to^i', 'tie^', 'p', 'tu']"
i tie,"['to^i', 'tie^', 'c', 'hu', 'i', 'hu']"
i tie,"['c', 'ca', '?', 'i', 'tie^', 'n', 'tha', 'nh', 'tie^', 'ng', 'vie^']"
i tie,"['i', 'tie^', 'p', 'xu', 'c', 'lie^n', 'la']"
i tie,"['i', 'quo^', 'c', 'no', 'i', 'tie^', 'ng', 'vie^']"
i tie,"['em', 'ma', 'ddi', 'thi', 'em', 'no^', '?', 'i', 'tie^', 'ng', 'em', 'dda^u', 'co', 'n', 'ye^u', 'anh', '?', 'em', 'se', 'bie^', 't', 'bao', 'ngu', 'plus', 'o', 'plus', 'i', 'theo', 'dduo^', '?', 'i']"
i tie,"['va', 'no', 'i', 'tie^', 'p']"
i tie,"['no', 'i', 'tie^', 'p']"
i tie,"['thi', 'ba', 'bie^', 't', 'to^i', 'ho', 'plus', 't', 'to', 'c', 'dda', 'n', 'o^ng', 'con', 'trai', 'no^', '?', 'i', 'tie^', 'ng', 'o', 'plus', '?', 'xa', 'mi', 'nh', 'co', 'n', 'la^', 'n', 'to', 'plus', 'i', 'huye^']"
tick tick,"['throw', 'throwaway', 'throwback', 'throwbackfails', 'throwbacks', 'throwing', 'thrown', 'throws', 'thrust', 'thrusting', 'thrusts', 'thug', 'thugkitchen', 'thugs', 'thule', 'thumb', 'thumbelina', 'thumbs', 'thump', 'thumper', 'thumping', 'thumps', 'thunberg', 'thunder', 'thunderbirds', 'thunderblazers', 'thunderbolt', 'thunderbolt3', 'thunderbolt3ssd', 'thundercat', 'thunderclouds', 'thunderous', 'thunderstorm', 'thunderstorms', 'thurman', 'thursday', 'thursdaynightfootballhighlights', 'thursdays', 'thwaites', 'thwart', 'thwarted', 'thwarts', 'thworsthit', 'thy', 'thyear', 'thyroid', 'thyroiddiet', 'thyroidfitness', 'thyroidissues', 'thyssen', 'thyssenkrupp', 'ti', 'tia', 'tiabachelor', 'tiafoe', 'tiafoeto', 'tiana', 'tiananmen', 'tianjin', 'tiara', 'tiarameghan', 'tiatameramowry', 'tibber', 'tibet', 'tibetan', 'tibetans', 'tibo', 'tiburones', 'tica', 'ticagrelor', 'tick', 'tick', 'tick', 'ticket', 'ticketed', 'ticketing', 'ticketmaster', 'tickets', 'ticketsnowonsale', 'ticking', 'tickle', 'tickled', 'tickling', 'ticks', 'tico', 'tidal', 'tide', 'tidying', 'tie', 'tie', 'tieascarf', 'tieatie', 'tiebreaker', 'tiebreakers', 'tiebreaking', 'tied', 'tiedyemanicure', 'tiedyenailart', 'tiehelmet', 'tiein']"
orange toddler,"['halloween', 'crayon', 'costume', 'orange', 'toddler', 't', 'shirt']"
about smart,"['what', 'is', 'interesting', 'to', 'me', 'about', 'smart', 'living', '360', 's', 'approach', 'compared', 'to', 'a', 'traditional', 'senior', 'housing', 'facility', 'is', 'that', 'smart', 'living', '360', 's', 'life', 'style', 'ambassador', 'begins', 'with', 'the', 'residents', 'wishes', 'and', 'customizes', 'activities', 'and', 'services', 'the', 'resident', 'desires', 'while', 'a', 'traditional', 'senior', 'housing', 'facility', 'has', 'a', 'menu', 'of', 'services', 'into', 'which', 'it', 'tries', 'to', 'fit', 'a', 'resident']"
mehmud,"['rocco', 'zedekiah', 'daughtry', 'cork', 'corbin', 'makenzie', 'adrienne', 'sanaa', 'ivy', 'semah', 'honey', 'cupcake', 'hetty', 'petula', 'mekhi', 'mehmud', 'nya', 'taylee', 'gian', 'gable']"
mehmud,"['mike', 'bette', 'lore', 'henry', 'aiva', 'toki', 'wren', 'jerom', 'daniel', 'barney', 'makenzie', 'kaylin', 'eryk', 'amna', 'mehmud', 'lydian', 'kirsty', 'aamina', 'frankee', 'colm']"
spandau,"['spandau', 'ballet']"
spandau,"['spandau', 'ballet']"
chagy,"['jyotirinduchatterjee', 'innerdream', 'ruvim', 'innerdream', 'brucha', 'soulurge', 'cuddles', 'soulurge', 'parber', 'soulurge', 'riekert', 'soulurge', 'solda', 'soulurge', 'kaipetta', 'soulurge', 'xingqiu', 'expression', 'sakhubai', 'expression', 'hoqomal', 'soulurge', 'cockersell', 'innerdream', 'jaquavius', 'innerdream', 'chagy', 'expression', 'xareni', 'innerdream', 'turyshev', 'soulurge', 'miltos', 'innerdream', 'tocheva', 'soulurge', 'hewish', 'expression', 'debreczeny', 'innerdream']"
glonass,"['1', 'gps', 'glonass', 'beidou', 'micro', 'usb', '2']"
prosciutto,"['?', 'i', 'chose', 'a', 'baked', 'risotto', 'for', 'mains', 'which', 'was', 'very', 'tasty', 'being', 'wrapped', 'in', 'prosciutto', 'and', 'served', 'with', '?', 'prawns', 'in', 'a', 'creamy', 'sauce']"
america west,"['america', 'west', 'beef', 'which', 'was', 'based', 'in', 'boulder', 'county', 'colorado', 'provides', 'the', 'best', 'quality', 'meats', 'to', 'customers', 'across', 'the', 'united', 'states']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
prosciutto,"['mustard', 'rabbit', 'with', 'prosciutto', 'asparagus', 'pasta']"
